crypto_id,crypto_name,last_value,last_closing_value,starting_range_value,ending_range_value,5_Day,1_Month,3_Month,1_Year,YTD
BTCCHF,Bitcoin CHF,45379.0,44180.0,43158.0,45379.0,-7.89,-23.07,9.59,181.86,76.96
BTCCLF,Bitcoin CLF,1507.52,1467.74,1433.98,1507.52,-7.83,-18.94,16.99,212.87,102.12
BTCCLP,Bitcoin CLP,41605223.0,40507148.0,39575451.0,41605223.0,-7.81,-18.92,17.02,212.93,102.16
BTCCNY,Bitcoin CNY,40203.0,40203.0,40203.0,40203.0,0.00,0.00,0.00,0.00,0.00
BTCCOP,Bitcoin COP,191555092.0,186456746.0,182206957.0,191555092.0,-9.35,-22.95,10.35,209.16,92.34
BTCCRC,Bitcoin CRC,31334969.0,30623726.0,29919355.0,31334969.0,-7.08,-23.91,11.32,188.30,77.26
BTCCUP,Bitcoin CUP,1269083.0,1235588.0,1207169.0,1269083.0,-8.17,-23.08,9.29,172.20,70.15
BTCCVE,Bitcoin CVE,4823748.0,4696436.0,4588414.0,4823748.0,-8.48,-21.74,14.62,191.57,83.91
BTCCZK,Bitcoin CZK,1103893.0,1074696.0,1049885.0,1103893.0,-8.60,-21.87,14.11,180.16,77.42
BTCDJF,Bitcoin DJF,8737104.0,8541155.0,8344702.0,8737104.0,-8.56,-23.42,8.85,171.02,69.46
BTCDKK,Bitcoin DKK,323840.0,315275.0,308020.0,323840.0,-8.23,-22.20,14.08,191.21,83.50
BTCDOP,Bitcoin DOP,2788172.0,2723093.0,2660460.0,2788172.0,-8.30,-23.12,9.04,164.59,65.25
BTCDZD,Bitcoin DZD,6849648.0,6669924.0,6516649.0,6849648.0,-8.10,-22.69,11.56,187.53,79.06
BTCEEK,Bitcoin EEK,720013.0,701010.0,684886.0,720013.0,-8.17,-23.08,9.29,172.20,70.15
BTCEGP,Bitcoin EGP,774139.0,753661.0,736372.0,774139.0,-8.16,-23.15,9.28,172.22,69.82
BTCERN,Bitcoin ERN,739279.0,719768.0,703212.0,739279.0,-8.17,-23.08,9.26,172.21,70.13
BTCETB,Bitcoin ETB,2389473.0,2320987.0,2267602.0,2389473.0,-7.44,-21.16,14.81,244.30,109.64
BTCEUR,Bitcoin EUR,43549.0,42397.0,41419.0,43549.0,-8.24,-22.20,14.08,191.45,83.66
BTCEUR,Bitcoin EUR,43549.0,42397.0,41419.0,43549.0,-8.24,-22.20,14.08,191.45,83.66
BTCFJD,Bitcoin FJD,104974.0,102004.0,99658.0,104974.0,-8.06,-21.98,12.32,181.53,75.92
BTCFKP,Bitcoin FKP,37140.0,36162.0,35323.0,37140.0,-8.39,-22.20,13.93,171.32,75.35
BTCGBP,Bitcoin GBP,37140.0,36162.0,35323.0,37140.0,-8.39,-22.20,13.93,171.32,75.35
BTCGEL,Bitcoin GEL,152783.0,148750.0,145329.0,152783.0,-8.62,-24.06,8.88,156.48,60.56
BTCGHS,Bitcoin GHS,301869.0,293902.0,287142.0,301869.0,-7.95,-23.02,10.85,184.27,77.24
BTCGIP,Bitcoin GIP,37140.0,36162.0,35323.0,37140.0,-8.39,-22.20,13.93,171.32,75.35
BTCGMD,Bitcoin GMD,2584987.0,2516762.0,2458874.0,2584987.0,-8.09,-22.53,12.00,175.88,72.43
BTCGNF,Bitcoin GNF,466266477.0,448650571.0,438331241.0,466266477.0,-7.19,-23.58,5.67,159.99,60.73
BTCGTQ,Bitcoin GTQ,380834.0,370783.0,362254.0,380834.0,-8.25,-23.17,9.06,169.42,68.70
BTCGYD,Bitcoin GYD,10307259.0,10035222.0,9804404.0,10307259.0,-8.22,-23.13,9.36,172.21,70.12
BTCHKD,Bitcoin HKD,384373.0,374266.0,365604.0,384373.0,-8.14,-22.98,9.59,173.89,71.17
BTCHNL,Bitcoin HNL,1191154.0,1164572.0,1137786.0,1191154.0,-8.10,-23.13,9.83,171.24,69.75
BTCHRK,Bitcoin HRK,327675.0,319027.0,311689.0,327675.0,-8.55,-22.08,14.62,190.82,83.09
BTCHTG,Bitcoin HTG,4947295.0,4835161.0,4723948.0,4947295.0,-6.54,-22.23,11.68,293.71,135.19
BTCHUF,Bitcoin HUF,15927362.0,15510654.0,15153485.0,15927362.0,-7.94,-22.50,19.19,200.94,85.23
BTCIDR,Bitcoin IDR,707482972.0,688839355.0,672967376.0,707482972.0,-9.23,-22.22,10.05,175.98,73.03
BTCILS,Bitcoin ILS,152861.0,148827.0,145404.0,152861.0,-9.93,-23.27,5.93,159.40,64.25
BTCINR,Bitcoin INR,3731720.0,3633832.0,3553181.0,3731720.0,-7.60,-21.68,12.55,179.47,76.32
BTCIQD,Bitcoin IQD,71704477.0,70056667.0,68445306.0,71704477.0,-8.53,-23.35,8.92,232.80,69.26
BTCIRR,Bitcoin IRR,2083513942.0,2028524375.0,1981866655.0,2083513942.0,-8.12,-23.03,9.49,173.30,70.83
BTCISK,Bitcoin ISK,6428706.0,6258076.0,6115073.0,6428706.0,-7.56,-23.64,11.38,177.89,73.72
BTCJEP,Bitcoin JEP,37140.0,36162.0,35323.0,37140.0,-8.39,-22.20,13.93,171.32,75.35
BTCJMD,Bitcoin JMD,7613884.0,7412933.0,7242430.0,7613884.0,-8.64,-23.68,12.18,193.60,83.85
BTCJOD,Bitcoin JOD,34943.0,34021.0,33238.0,34943.0,-8.17,-23.08,9.29,172.20,70.15
BTCJPY,Bitcoin JPY,5588647.0,5442441.0,5315527.0,5588647.0,-7.67,-23.41,12.81,196.68,86.85
BTCKES,Bitcoin KES,5566715.0,5419795.0,5295135.0,5566715.0,-7.97,-22.46,12.33,175.74,76.31
BTCKGS,Bitcoin KGS,4178871.0,4068767.0,3975182.0,4178871.0,-8.17,-23.08,9.34,172.18,74.36
BTCKHR,Bitcoin KHR,200118370.0,195390923.0,190896772.0,200118370.0,-8.43,-23.35,8.80,172.91,70.80
BTCKMF,Bitcoin KMF,21459844.0,20893461.0,20412894.0,21459844.0,-7.92,-21.68,13.58,191.84,83.84
BTCKPW,Bitcoin KPW,44356299.0,43185617.0,42192312.0,44356299.0,-8.17,-23.08,9.29,172.20,70.15
BTCKRW,Bitcoin KRW,58205321.0,56680290.0,55365689.0,58205321.0,-8.39,-22.99,10.17,194.45,84.66
BTCKWD,Bitcoin KWD,14927.0,14535.0,14198.0,14927.0,-8.13,-22.93,10.15,170.19,69.43
BTCKYD,Bitcoin KYD,41055.0,39971.0,39052.0,41055.0,-8.20,-23.13,9.26,172.03,70.12
BTCKZT,Bitcoin KZT,21480372.0,20913447.0,20432420.0,21480372.0,-8.74,-22.26,11.72,182.91,75.99
BTCLAK,Bitcoin LAK,540156438.0,529023802.0,516855822.0,540156438.0,-7.71,-20.74,24.99,221.13,100.51
BTCLBP,Bitcoin LBP,74936086.0,73559500.0,71867571.0,74936086.0,-8.59,-23.71,9.90,172.65,70.42
BTCLKR,Bitcoin LKR,9976139.0,9712841.0,9489438.0,9976139.0,-7.97,-22.94,10.76,195.13,85.95
