crypto_id,crypto_name,last_value,last_closing_value,starting_range_value,ending_range_value,5_Day,1_Month,3_Month,1_Year,YTD
KAREUR,Karura EUR,3.19,3.35,3.19,3.498,-33.50,-45.28,-48.27,,
KARUSD,Karura USD,4.048,3.782,3.61,4.048,-25.48,-39.21,-44.23,,
KAVAEUR,Kava EUR,3.1627,3.1117,2.9901,3.1627,-26.00,-35.22,-39.35,,
KAVAUSD,Kava USD,3.5703,3.5303,3.3731,3.5703,-25.97,-36.05,-42.05,141.89,176.64
KEEPEUR,Keep Network EUR,0.5858,0.5562,0.53,0.5858,-18.20,1.89,68.90,,
KEEPUSD,Keep Network USD,0.6618,0.6298,0.5992,0.6618,-18.01,0.67,61.93,154.56,250.13
KSMEUR,Kusama EUR,262.75,253.3,244.57,262.75,-15.20,-29.18,-19.99,,
KSMUSD,Kusama USD,296.55,286.64,276.17,296.55,-15.30,-30.02,-23.54,554.78,310.28
KNCEUR,Kyber Network EUR,1.2161,1.1991,1.1335,1.2161,-22.54,-24.55,-21.30,,
KNCUSD,Kyber Network USD,1.371,1.3584,1.2802,1.371,-22.55,-25.55,-24.64,57.55,71.63
LSKEUR,Lisk EUR,2.3217,2.151,2.1271,2.3217,-22.17,-22.48,-17.91,,
LSKUSD,Lisk USD,2.6416,2.4558,2.4,2.6416,-22.09,-22.95,-21.05,116.48,130.46
LTCEUR,Litecoin EUR,141.16,135.28,129.31,141.16,-16.14,-36.00,-3.98,133.94,39.01
LTCUSD,Litecoin USD,159.57,153.0,146.03,159.57,-16.06,-36.76,-8.03,118.53,28.46
LPTEUR,LivePeer EUR,34.1,32.55,31.11,34.1,-19.46,-34.62,135.50,,
LPTUSD,LivePeer USD,38.54,36.9,35.05,38.54,-19.37,-35.44,125.38,,
LRCEUR,Loopring EUR,2.1393,2.117,2.0065,2.1393,0.07,-19.76,517.05,,
LRCUSD,Loopring USD,2.3637,2.3916,2.2656,2.4202,-2.54,-22.17,470.80,,
XLMEUR,Lumen EUR,0.2478,0.2367,0.2271,0.2478,-15.27,-25.27,-7.82,,
XLMUSD,Lumen USD,0.2799,0.2673,0.2567,0.2799,-15.17,-26.15,-11.92,85.00,119.31
MKREUR,MakerDAO EUR,2181.6,2135.3,2032.0,2181.6,-11.36,-13.32,-5.98,,
MKRUSD,MakerDAO USD,2443.8,2418.9,2310.1,2443.8,-11.87,-15.25,-12.23,,
MINAEUR,Mina EUR,3.2,3.15,3.0,3.2,-15.34,-35.48,-32.77,,
MINAUSD,Mina USD,3.63,3.56,3.39,3.63,-15.19,-35.98,-35.29,,
XMREUR,Monero EUR,177.12,171.78,166.38,177.12,-10.71,-22.42,-16.55,53.87,37.86
XMRUSD,Monero USD,199.9,194.34,187.33,199.9,-10.58,-23.42,-20.08,43.58,27.30
MOVREUR,Moonriver EUR,172.8,162.06,157.4,172.8,-29.97,-44.43,-50.26,,
MOVRUSD,Moonriver USD,195.62,182.94,177.0,195.62,-29.86,-45.13,,,
NANOEUR,Nano EUR,3.4723,3.3415,3.23,3.4723,-20.78,-32.61,-23.16,,
NANOUSD,Nano USD,3.93,3.7826,3.6505,3.93,-20.05,-33.37,-26.48,320.51,285.67
OCEANEUR,OCEAN Token EUR,0.7735,0.7565,0.7148,0.7735,-30.65,-2.26,28.77,,
OCEANUSD,OCEAN Token USD,0.8741,0.857,0.8061,0.8741,-30.59,-3.54,23.39,,
OMGEUR,OMG Network EUR,5.6466,5.5402,5.23,5.6466,-17.21,-50.92,-17.37,,
OMGUSD,OMG Network USD,6.3625,6.229,5.9293,6.3625,-17.59,-51.69,-21.08,112.00,156.39
OXTEUR,Orchid EUR,0.3415,0.3299,0.3242,0.3415,-18.70,-36.13,8.08,,
OXTUSD,Orchid USD,0.3871,0.3735,0.3663,0.3871,-18.23,-36.58,3.94,56.57,73.53
PAXGEUR,PAX Gold EUR,1586.45,1577.08,1569.0,1586.45,0.39,-2.99,4.47,,
PAXGUSD,PAX Gold USD,1789.12,1782.42,1777.61,1789.12,0.39,-4.38,-0.21,-2.87,-7.66
DOTEUR,Polkadot EUR,24.9574,24.0578,22.8895,24.9574,-17.25,-37.64,2.05,,
DOTUSD,Polkadot USD,28.1449,27.2146,25.8361,28.1449,-17.31,-38.52,-2.57,509.33,203.33
MATICEUR,Polygon EUR,1.8753,1.9116,1.7843,1.9232,-6.52,24.88,69.80,,
MATICUSD,Polygon USD,2.1126,2.1587,2.0149,2.175,-6.70,22.85,61.93,,
QTUMEUR,Qtum EUR,8.9197,8.6352,8.2203,8.9197,-27.44,-36.62,-17.40,,
QTUMUSD,Qtum USD,10.066,9.7407,9.3069,10.066,-27.60,-37.54,-21.08,328.81,353.02
RARIEUR,Rarible EUR,12.75,13.28,12.75,13.63,-27.06,-30.21,-30.97,,
RARIUSD,Rarible USD,14.3,14.89,14.3,15.28,-27.96,-31.58,-34.19,,
RENEUR,Ren EUR,0.4969,0.485,0.4638,0.4969,-33.98,-36.35,-17.16,,
RENUSD,Ren USD,0.5567,0.5483,0.5209,0.5567,-34.25,-38.32,-21.50,,
SANDEUR,Sand EUR,4.5538,4.4123,4.1977,4.5538,-15.40,100.52,591.12,,
SANDUSD,Sand USD,5.1117,4.9946,4.7572,5.1117,-16.03,97.26,553.67,,
SRMEUR,Serum EUR,3.333,3.277,3.096,3.333,-27.13,-45.15,-65.65,,
SRMUSD,Serum USD,3.758,3.704,3.493,3.758,-27.47,-46.18,-67.18,,
SHIBEUR,Shiba Inu EUR,3.098e-05,3.066e-05,2.942e-05,3.098e-05,-13.49,,,,
SHIBUSD,Shiba Inu USD,3.5e-05,3.467e-05,3.32e-05,3.5e-05,-13.64,,,,
SDNEUR,Shiden EUR,1.753,1.701,1.665,1.753,-17.89,-36.94,-55.83,,
SDNUSD,Shiden USD,1.99,1.924,1.875,1.99,-17.63,-37.20,-57.51,,
SCEUR,Siacoin EUR,0.0149,0.01455,0.01385,0.0149,-22.11,-12.20,-2.42,,
SCUSD,Siacoin USD,0.01687,0.0164,0.01564,0.01687,-21.64,-13.09,-6.49,445.95,440.71
SOLEUR,Solana EUR,153.93,153.83,142.86,153.93,-19.13,-23.49,1.18,,
SOLUSD,Solana USD,170.72,173.67,161.66,173.87,-20.66,-25.82,-4.93,,
STORJEUR,Storj EUR,1.4622,1.4382,1.3772,1.4622,-24.33,4.42,21.68,,
STORJUSD,Storj USD,1.6525,1.6295,1.5538,1.6525,-24.00,3.35,17.20,394.98,466.43
SUSHIEUR,Sushi EUR,5.11,4.59,4.45,5.11,-16.91,-46.77,-40.51,,
SUSHIUSD,Sushi USD,5.75,5.21,5.03,5.75,-16.67,-47.63,-42.50,,
SNXEUR,Synthetix EUR,4.986,4.847,4.627,4.986,-19.19,-40.25,-44.09,,
SNXUSD,Synthetix USD,5.62,5.441,5.22,5.62,-19.45,-41.08,-46.66,28.87,-22.32
TBTCEUR,tBTC EUR,43669.0,46000.0,42224.0,46000.0,-9.92,-24.05,9.31,,
TBTCUSD,tBTC USD,54080.0,48628.0,46740.0,54080.0,-2.94,-17.62,17.10,203.74,88.23
USDTEUR,Tether EUR,0.887,0.8848,0.8844,0.887,0.05,1.43,4.75,,
USDTUSD,Tether USD,1.0007,1.0004,1.0003,1.0007,0.02,0.05,0.06,0.07,-0.03
XTZEUR,Tezos EUR,4.088,3.9958,3.7683,4.088,-4.21,-18.99,-21.89,,
XTZUSD,Tezos USD,4.6269,4.5132,4.2541,4.6269,-4.08,-19.75,-25.15,122.42,129.58
GRTEUR,The Graph EUR,0.5966,0.5794,0.5587,0.5966,-21.98,-36.86,-14.54,,
GRTUSD,The Graph USD,0.6739,0.6613,0.6327,0.6739,-22.08,-37.85,-19.26,,92.44
TRXEUR,Tron EUR,0.081385,0.079297,0.076664,0.081385,-4.25,-13.37,7.35,,
TRXUSD,Tron USD,0.091842,0.089606,0.086579,0.091842,-4.25,-14.55,2.54,230.03,241.78
UNIEUR,Uniswap EUR,14.809,13.768,13.274,14.809,-16.72,-30.91,-21.65,,
UNIUSD,Uniswap USD,16.72,15.553,14.98,16.72,-16.82,-31.80,-25.04,460.51,222.78
USDCEUR,USD Coin EUR,0.8866,0.8843,0.884,0.8866,0.05,1.41,4.69,,
USDCUSD,USD Coin USD,1.0001,0.9999,0.9998,1.0005,0.01,0.01,0.00,0.03,0.04
WAVESEUR,Waves EUR,14.3953,14.3083,13.5676,14.3953,-22.10,-29.98,-42.16,,
WAVESUSD,Waves USD,15.6468,16.2734,15.3516,16.2734,-24.74,-33.46,-46.80,92.47,152.37
WBTCEUR,Wrapped Bitcoin EUR,43009.0,42628.0,41799.0,43009.0,-9.74,-23.64,14.00,,
WBTCUSD,Wrapped Bitcoin USD,48736.0,48155.0,47713.0,48736.0,-9.26,-24.03,9.72,,
XRPEUR,XRP EUR,0.7472,0.7292,0.6959,0.7472,-9.22,-28.16,-16.98,56.66,306.01
XRPUSD,XRP USD,0.8437,0.8266,0.7867,0.8437,-9.20,-29.15,-20.63,46.28,274.99
YFIEUR,Yearn Finance EUR,20633.0,18262.0,17475.0,20633.0,-15.97,-27.05,-26.11,,
YFIUSD,Yearn Finance USD,23280.0,20532.0,19872.0,23280.0,-15.60,-28.48,-29.33,-0.72,2.42
ZECEUR,ZCash EUR,151.72,148.31,137.92,151.72,-16.77,-13.00,40.70,185.41,194.00
ZECUSD,ZCash USD,171.21,167.37,156.0,171.21,-16.62,-14.28,35.08,166.56,171.93
